book_id	branch_id	no_of_copies
1558531025	4	1
1558531025	5	1
0441783589	1	1
0441783589	2	1
0441783589	3	1
0441783589	4	1
0441783589	5	0
0394895894	1	1
0394895894	2	1
0394895894	3	1
0394895894	4	1
0394895894	5	1
1569871213	1	0
1569871213	2	0
1569871213	3	0
1569871213	4	1
1569871213	5	1
0375410538	1	0
0375410538	2	0
0375410538	3	1
0375410538	4	1
0375410538	5	1
0966986105	1	0
0966986105	2	1
0966986105	3	1
0966986105	4	1
0966986105	5	1
087113375X	1	1
087113375X	2	0
087113375X	3	1
087113375X	4	1
087113375X	5	1
0340767936	1	0
0340767936	2	1
0340767936	3	1
0340767936	4	1
0340767936	5	1
0743403843	1	0
0743403843	2	1
0743403843	3	0
0743403843	4	1
0743403843	5	1
0060930365	1	1
0060930365	2	1
0060930365	3	1
0060930365	4	1
0060930365	5	0
0060177586	1	1
0060177586	2	1
0060177586	3	1
0060177586	4	2
0060177586	5	0
0071416331	1	1
0071416331	2	0
0071416331	3	1
0071416331	4	0
0071416331	5	1
0375509038	1	1
0375509038	2	1
0375509038	3	0
0375509038	4	1
0375509038	5	0
0553062042	1	1
0553062042	2	0
0553062042	3	0
0553062042	4	1
0553062042	5	0
0316769487	1	1
0316769487	2	1
0316769487	3	1
0316769487	4	1
0316769487	5	0
0679429220	1	1
0679429220	2	0
0679429220	3	1
0679429220	4	1
0679429220	5	1
0671867156	1	0
0671867156	2	1
0671867156	3	1
0671867156	4	1
0671867156	5	1
0312252617	1	1
0312252617	2	0
0312252617	3	1
0312252617	4	1
0312252617	5	1
0312261594	1	1
0312261594	2	1
0312261594	3	1
0312261594	4	1
0312261594	5	0
0316748641	1	1
0316748641	2	1
0316748641	3	1
0316748641	4	1
0316748641	5	1
0316973742	1	1
0316973742	2	1
0316973742	3	0
0316973742	4	1
0316973742	5	1
0385235941	1	0
0385235941	2	1
0385235941	3	1
0385235941	4	1
0385235941	5	1
0446677450	1	1
0446677450	2	1
0446677450	3	1
0446677450	4	1
0446677450	5	1
0451166892	1	0
0451166892	2	0
0451166892	3	1
0451166892	4	1
0451166892	5	1
0553347594	1	1
0553347594	2	1
0553347594	3	1
0553347594	4	1
0553347594	5	1
0671621009	1	1
0671621009	2	0
0671621009	3	1
0671621009	4	0
0671621009	5	1
067976397X	1	0
067976397X	2	1
067976397X	3	1
067976397X	4	1
067976397X	5	0
0684822733	1	1
0684822733	2	0
0684822733	3	1
0684822733	4	1
0684822733	5	1
0786868716	1	1
0786868716	2	1
0786868716	3	1
0786868716	4	1
0786868716	5	1
0671864769	1	0
0671864769	2	1
0671864769	3	1
0671864769	4	1
0671864769	5	0
0671521519	1	0
0671521519	2	1
0671521519	3	1
0671521519	4	1
0671521519	5	0
0440222303	1	1
0440222303	2	1
0440222303	3	1
0440222303	4	1
0440222303	5	0
0312953453	1	1
0312953453	2	1
0312953453	3	1
0312953453	4	1
0312953453	5	1
0446608653	1	1
0446608653	2	1
0446608653	3	1
0446608653	4	1
0446608653	5	1
0446612545	1	1
0446612545	2	1
0446612545	3	1
0446612545	4	1
0446612545	5	1
0446612618	1	0
0446612618	2	1
0446612618	3	1
0446612618	4	1
0446612618	5	1
0451208080	1	1
0451208080	2	0
0451208080	3	1
0451208080	4	1
0451208080	5	2
0553584383	1	1
0553584383	2	1
0553584383	3	1
0553584383	4	1
0553584383	5	1
0671027360	1	0
0671027360	2	1
0671027360	3	1
0671027360	4	1
0671027360	5	1
0812575954	1	1
0812575954	2	1
0812575954	3	0
0812575954	4	1
0812575954	5	0
0316735736	1	0
0316735736	2	1
0316735736	3	1
0316735736	4	0
0316735736	5	0
0743439740	1	1
0743439740	2	1
0743439740	3	1
0743439740	4	1
0743439740	5	0
0345372700	1	1
0345372700	2	1
0345372700	3	1
0345372700	4	1
0345372700	5	1
0380619458	1	1
0380619458	2	1
0380619458	3	1
0380619458	4	1
0380619458	5	0
0446325805	1	1
0446325805	2	0
0446325805	3	1
0446325805	4	0
0446325805	5	1
0451406923	1	1
0451406923	2	1
0451406923	3	0
0451406923	4	1
0451406923	5	1
0671042858	1	1
0671042858	2	1
0671042858	3	1
0671042858	4	1
0671042858	5	0
0743249992	1	1
0743249992	2	1
0743249992	3	1
0743249992	4	1
0743249992	5	1
0840734530	1	1
0840734530	2	1
0840734530	3	1
0840734530	4	1
0840734530	5	1
0425184226	1	1
0425184226	2	1
0425184226	3	1
0425184226	4	0
0425184226	5	1
0375500766	1	1
0375500766	2	0
0375500766	3	0
0375500766	4	1
0375500766	5	1
9724119378	1	0
9724119378	2	1
9724119378	3	1
9724119378	4	1
9724119378	5	1
0451205197	1	0
0451205197	2	1
0451205197	3	0
0451205197	4	1
0451205197	5	1
0060929790	1	1
0060929790	2	1
0060929790	3	1
0060929790	4	0
0060929790	5	1
0060976845	1	1
0060976845	2	0
0060976845	3	1
0060976845	4	1
0060976845	5	0
0061099325	1	1
0061099325	2	0
0061099325	3	1
0061099325	4	1
0061099325	5	1
0671004573	1	2
0671004573	2	0
0671004573	3	1
0671004573	4	1
0671004573	5	1
0446601640	1	0
0446601640	2	0
0446601640	3	1
0446601640	4	0
0446601640	5	1
0330484516	1	1
0330484516	2	1
0330484516	3	0
0330484516	4	0
0330484516	5	0
038572179X	1	1
038572179X	2	1
038572179X	3	1
038572179X	4	0
038572179X	5	0
0393020371	1	1
0393020371	2	1
0393020371	3	1
0393020371	4	1
0393020371	5	0
1900850303	1	1
1900850303	2	1
1900850303	3	0
1900850303	4	1
1900850303	5	1
1903019699	1	1
1903019699	2	0
1903019699	3	1
1903019699	4	1
1903019699	5	0
0345425294	1	1
0345425294	2	1
0345425294	3	2
0345425294	4	1
0345425294	5	0
0451410319	1	1
0451410319	2	0
0451410319	3	1
0451410319	4	1
0451410319	5	1
0553583468	1	1
0553583468	2	1
0553583468	3	0
0553583468	4	1
0553583468	5	1
0380778556	1	0
0380778556	2	1
0380778556	3	1
0380778556	4	1
0380778556	5	1
0451525221	1	1
0451525221	2	0
0451525221	3	0
0451525221	4	1
0451525221	5	0
0002740230	1	1
0002740230	2	1
0002740230	3	0
0002740230	4	1
0002740230	5	0
0385336772	1	0
0385336772	2	1
0385336772	3	1
0385336772	4	0
0385336772	5	0
0440949424	1	1
0440949424	2	1
0440949424	3	1
0440949424	4	1
0440949424	5	1
0505524996	1	0
0505524996	2	1
0505524996	3	0
0505524996	4	1
0505524996	5	0
0140252800	1	1
0140252800	2	1
0140252800	3	2
0140252800	4	1
0140252800	5	1
0451452755	1	1
0451452755	2	1
0451452755	3	0
0451452755	4	1
0451452755	5	1
0812575482	1	1
0812575482	2	1
0812575482	3	1
0812575482	4	1
0812575482	5	1
044651747X	1	1
044651747X	2	1
044651747X	3	0
044651747X	4	1
044651747X	5	0
0060801263	1	1
0060801263	2	1
0060801263	3	1
0060801263	4	0
0060801263	5	1
0061030147	1	1
0061030147	2	1
0061030147	3	1
0061030147	4	0
0061030147	5	1
0140250964	1	1
0140250964	2	1
0140250964	3	1
0140250964	4	1
0140250964	5	1
0446527165	1	1
0446527165	2	1
0446527165	3	1
0446527165	4	0
0446527165	5	1
0671461494	1	1
0671461494	2	1
0671461494	3	1
0671461494	4	1
0671461494	5	1
0385337639	1	0
0385337639	2	1
0385337639	3	1
0385337639	4	1
0385337639	5	1
039575514X	1	1
039575514X	2	1
039575514X	3	1
039575514X	4	1
039575514X	5	1
0451206673	1	1
0451206673	2	0
0451206673	3	1
0451206673	4	1
0451206673	5	1
0330332775	1	0
0330332775	2	1
0330332775	3	1
0330332775	4	1
0330332775	5	1
0486284735	1	1
0486284735	2	1
0486284735	3	0
0486284735	4	1
0486284735	5	1
0671021745	1	1
0671021745	2	0
0671021745	3	0
0671021745	4	1
0671021745	5	0
0671047612	1	1
0671047612	2	1
0671047612	3	0
0671047612	4	1
0671047612	5	1
0671504282	1	1
0671504282	2	1
0671504282	3	0
0671504282	4	1
0671504282	5	1
0399138684	1	1
0399138684	2	1
0399138684	3	0
0399138684	4	1
0399138684	5	1
0785263292	1	0
0785263292	2	0
0785263292	3	1
0785263292	4	1
0785263292	5	1
0830714014	1	1
0830714014	2	1
0830714014	3	1
0830714014	4	1
0830714014	5	1
0345354931	1	1
0345354931	2	1
0345354931	3	1
0345354931	4	0
0345354931	5	1
0553278223	1	0
0553278223	2	0
0553278223	3	1
0553278223	4	1
0553278223	5	1
3150000335	1	1
3150000335	2	1
3150000335	3	0
3150000335	4	0
3150000335	5	0
3257203659	1	0
3257203659	2	1
3257203659	3	1
3257203659	4	1
3257203659	5	1
3257207522	1	1
3257207522	2	1
3257207522	3	1
3257207522	4	0
3257207522	5	1
3257208626	1	0
3257208626	2	1
3257208626	3	1
3257208626	4	0
3257208626	5	0
3257208634	1	1
3257208634	2	1
3257208634	3	1
3257208634	4	1
3257208634	5	1
3257208669	1	1
3257208669	2	1
3257208669	3	1
3257208669	4	1
3257208669	5	1
3257210450	1	1
3257210450	2	0
3257210450	3	0
3257210450	4	1
3257210450	5	1
3257212054	1	1
3257212054	2	1
3257212054	3	1
3257212054	4	1
3257212054	5	0
3257212429	1	0
3257212429	2	1
3257212429	3	1
3257212429	4	1
3257212429	5	1
3257214154	1	1
3257214154	2	0
3257214154	3	1
3257214154	4	1
3257214154	5	0
3257216416	1	1
3257216416	2	1
3257216416	3	1
3257216416	4	0
3257216416	5	1
3257233051	1	0
3257233051	2	1
3257233051	3	0
3257233051	4	0
3257233051	5	1
342311360X	1	1
342311360X	2	1
342311360X	3	1
342311360X	4	1
342311360X	5	0
3423116714	1	1
3423116714	2	1
3423116714	3	0
3423116714	4	1
3423116714	5	0
3423241489	1	1
3423241489	2	1
3423241489	3	1
3423241489	4	0
3423241489	5	1
3426605686	1	1
3426605686	2	1
3426605686	3	1
3426605686	4	1
3426605686	5	0
3453212150	1	0
3453212150	2	1
3453212150	3	1
3453212150	4	1
3453212150	5	0
3462021095	1	0
3462021095	2	1
3462021095	3	1
3462021095	4	0
3462021095	5	1
3492045642	1	1
3492045642	2	0
3492045642	3	1
3492045642	4	1
3492045642	5	1
3498020862	1	0
3498020862	2	1
3498020862	3	0
3498020862	4	1
3498020862	5	0
3499110695	1	0
3499110695	2	2
3499110695	3	1
3499110695	4	1
3499110695	5	0
3499151502	1	1
3499151502	2	1
3499151502	3	2
3499151502	4	1
3499151502	5	0
3518111000	1	1
3518111000	2	1
3518111000	3	1
3518111000	4	0
3518111000	5	1
3548254268	1	1
3548254268	2	1
3548254268	3	1
3548254268	4	1
3548254268	5	1
3570300099	1	1
3570300099	2	1
3570300099	3	1
3570300099	4	1
3570300099	5	1
3596292646	1	1
3596292646	2	1
3596292646	3	0
3596292646	4	1
3596292646	5	1
0060977493	1	1
0060977493	2	1
0060977493	3	0
0060977493	4	0
0060977493	5	0
0312872682	1	0
0312872682	2	1
0312872682	3	1
0312872682	4	0
0312872682	5	1
0316602906	1	0
0316602906	2	0
0316602906	3	1
0316602906	4	1
0316602906	5	0
0316693006	1	1
0316693006	2	1
0316693006	3	1
0316693006	4	0
0316693006	5	0
0345311396	1	1
0345311396	2	1
0345311396	3	1
0345311396	4	0
0345311396	5	1
0345378490	1	1
0345378490	2	1
0345378490	3	1
0345378490	4	1
0345378490	5	1
0345404793	1	1
0345404793	2	1
0345404793	3	1
0345404793	4	1
0345404793	5	1
0345433173	1	1
0345433173	2	1
0345433173	3	1
0345433173	4	1
0345433173	5	0
0375400117	1	1
0375400117	2	0
0375400117	3	1
0375400117	4	1
0375400117	5	0
0375705856	1	1
0375705856	2	1
0375705856	3	1
0375705856	4	1
0375705856	5	1
0380717018	1	0
0380717018	2	0
0380717018	3	1
0380717018	4	1
0380717018	5	0
0380718332	1	0
0380718332	2	1
0380718332	3	1
0380718332	4	1
0380718332	5	1
0380754509	1	0
0380754509	2	1
0380754509	3	0
0380754509	4	1
0380754509	5	1
038076654X	1	1
038076654X	2	1
038076654X	3	1
038076654X	4	0
038076654X	5	1
0380807866	1	1
0380807866	2	1
0380807866	3	1
0380807866	4	1
0380807866	5	1
0385316895	1	0
0385316895	2	1
0385316895	3	1
0385316895	4	0
0385316895	5	1
0385497466	1	0
0385497466	2	0
0385497466	3	0
0385497466	4	0
0385497466	5	1
0385508042	1	1
0385508042	2	0
0385508042	3	1
0385508042	4	1
0385508042	5	1
0385509456	1	1
0385509456	2	0
0385509456	3	0
0385509456	4	1
0385509456	5	0
0385511612	1	0
0385511612	2	0
0385511612	3	1
0385511612	4	0
0385511612	5	1
0385730586	1	1
0385730586	2	0
0385730586	3	1
0385730586	4	1
0385730586	5	0
0425164403	1	1
0425164403	2	0
0425164403	3	1
0425164403	4	1
0425164403	5	1
0440234964	1	1
0440234964	2	0
0440234964	3	0
0440234964	4	2
0440234964	5	0
0446605484	1	1
0446605484	2	1
0446605484	3	1
0446605484	4	0
0446605484	5	0
0446610399	1	1
0446610399	2	1
0446610399	3	1
0446610399	4	1
0446610399	5	0
0449006522	1	2
0449006522	2	1
0449006522	3	0
0449006522	4	1
0449006522	5	0
0449911004	1	1
0449911004	2	1
0449911004	3	0
0449911004	4	0
0449911004	5	1
0451162072	1	1
0451162072	2	1
0451162072	3	1
0451162072	4	1
0451162072	5	0
0451186648	1	1
0451186648	2	1
0451186648	3	1
0451186648	4	0
0451186648	5	1
0452282152	1	1
0452282152	2	1
0452282152	3	1
0452282152	4	1
0452282152	5	1
051513290X	1	0
051513290X	2	0
051513290X	3	1
051513290X	4	1
051513290X	5	1
0553580388	1	1
0553580388	2	1
0553580388	3	1
0553580388	4	0
0553580388	5	1
0590598848	1	1
0590598848	2	1
0590598848	3	1
0590598848	4	1
0590598848	5	0
0590629719	1	1
0590629719	2	0
0590629719	3	1
0590629719	4	1
0590629719	5	1
0671023616	1	1
0671023616	2	1
0671023616	3	1
0671023616	4	1
0671023616	5	1
0671027387	1	0
0671027387	2	1
0671027387	3	1
0671027387	4	1
0671027387	5	1
0684848783	1	1
0684848783	2	1
0684848783	3	1
0684848783	4	1
0684848783	5	1
0743486226	1	1
0743486226	2	1
0743486226	3	1
0743486226	4	0
0743486226	5	1
0786863986	1	0
0786863986	2	1
0786863986	3	0
0786863986	4	1
0786863986	5	1
0803251718	1	1
0803251718	2	1
0803251718	3	1
0803251718	4	0
0803251718	5	1
0804117934	1	1
0804117934	2	1
0804117934	3	1
0804117934	4	1
0804117934	5	1
140003180X	1	1
140003180X	2	1
140003180X	3	1
140003180X	4	0
140003180X	5	1
155874262X	1	1
155874262X	2	1
155874262X	3	1
155874262X	4	0
155874262X	5	1
0060987103	1	0
0060987103	2	1
0060987103	3	1
0060987103	4	1
0060987103	5	1
0151008116	1	1
0151008116	2	1
0151008116	3	1
0151008116	4	0
0151008116	5	1
0375704965	1	1
0375704965	2	0
0375704965	3	1
0375704965	4	0
0375704965	5	2
0525947647	1	1
0525947647	2	0
0525947647	3	1
0525947647	4	1
0525947647	5	1
0804111359	1	1
0804111359	2	1
0804111359	3	1
0804111359	4	0
0804111359	5	1
1558744150	1	1
1558744150	2	1
1558744150	3	1
1558744150	4	1
1558744150	5	0
0435272683	1	0
0435272683	2	1
0435272683	3	1
0435272683	4	1
0435272683	5	1
0316782505	1	0
0316782505	2	1
0316782505	3	1
0316782505	4	1
0316782505	5	1
006102063X	1	1
006102063X	2	1
006102063X	3	1
006102063X	4	0
006102063X	5	1
0060013117	1	1
0060013117	2	0
0060013117	3	1
0060013117	4	1
0060013117	5	1
0060199563	1	1
0060199563	2	0
0060199563	3	0
0060199563	4	1
0060199563	5	0
006052779X	1	0
006052779X	2	0
006052779X	3	1
006052779X	4	1
006052779X	5	1
0060563079	1	1
0060563079	2	1
0060563079	3	0
0060563079	4	1
0060563079	5	0
0060809027	1	0
0060809027	2	0
0060809027	3	1
0060809027	4	0
0060809027	5	1
0061040967	1	1
0061040967	2	1
0061040967	3	1
0061040967	4	1
0061040967	5	1
0061050474	1	0
0061050474	2	1
0061050474	3	1
0061050474	4	1
0061050474	5	1
0061052515	1	1
0061052515	2	1
0061052515	3	1
0061052515	4	1
0061052515	5	1
0061052523	1	1
0061052523	2	1
0061052523	3	1
0061052523	4	1
0061052523	5	1
0064472264	1	1
0064472264	2	1
0064472264	3	0
0064472264	4	0
0064472264	5	1
0140620664	1	0
0140620664	2	1
0140620664	3	0
0140620664	4	0
0140620664	5	1
0312148267	1	1
0312148267	2	1
0312148267	3	0
0312148267	4	1
0312148267	5	0
0312156960	1	0
0312156960	2	0
0312156960	3	0
0312156960	4	0
0312156960	5	1
0312890044	1	0
0312890044	2	0
0312890044	3	0
0312890044	4	1
0312890044	5	1
034543191X	1	1
034543191X	2	1
034543191X	3	1
034543191X	4	1
034543191X	5	1
0373836023	1	0
0373836023	2	1
0373836023	3	1
0373836023	4	1
0373836023	5	0
0375751513	1	1
0375751513	2	1
0375751513	3	0
0375751513	4	1
0375751513	5	0
0375801677	1	1
0375801677	2	1
0375801677	3	0
0375801677	4	1
0375801677	5	1
0375814248	1	1
0375814248	2	1
0375814248	3	1
0375814248	4	0
0375814248	5	1
0375823352	1	1
0375823352	2	1
0375823352	3	1
0375823352	4	1
0375823352	5	0
037582345X	1	1
037582345X	2	0
037582345X	3	1
037582345X	4	1
037582345X	5	1
0375823468	1	1
0375823468	2	1
0375823468	3	0
0375823468	4	0
0375823468	5	1
0380730448	1	0
0380730448	2	1
0380730448	3	1
0380730448	4	1
0380730448	5	1
0380973839	1	1
0380973839	2	1
0380973839	3	1
0380973839	4	1
0380973839	5	1
0385327773	1	0
0385327773	2	1
0385327773	3	1
0385327773	4	1
0385327773	5	1
0394586239	1	0
0394586239	2	1
0394586239	3	1
0394586239	4	1
0394586239	5	1
0439510112	1	1
0439510112	2	0
0439510112	3	1
0439510112	4	1
0439510112	5	1
0440241413	1	1
0440241413	2	1
0440241413	3	0
0440241413	4	1
0440241413	5	0
0451409256	1	1
0451409256	2	0
0451409256	3	1
0451409256	4	0
0451409256	5	1
0451523415	1	1
0451523415	2	1
0451523415	3	1
0451523415	4	1
0451523415	5	1
0451526279	1	0
0451526279	2	1
0451526279	3	0
0451526279	4	1
0451526279	5	1
0451526341	1	0
0451526341	2	1
0451526341	3	0
0451526341	4	0
0451526341	5	1
0486415864	1	1
0486415864	2	1
0486415864	3	0
0486415864	4	1
0486415864	5	1
0553280589	1	1
0553280589	2	1
0553280589	3	0
0553280589	4	1
0553280589	5	1
0571197639	1	1
0571197639	2	1
0571197639	3	1
0571197639	4	1
0571197639	5	1
0670035262	1	1
0670035262	2	0
0670035262	3	1
0670035262	4	1
0670035262	5	1
0679423079	1	1
0679423079	2	0
0679423079	3	1
0679423079	4	0
0679423079	5	1
0679751343	1	0
0679751343	2	1
0679751343	3	1
0679751343	4	1
0679751343	5	1
0684833395	1	1
0684833395	2	1
0684833395	3	1
0684833395	4	0
0684833395	5	1
0743245024	1	1
0743245024	2	0
0743245024	3	1
0743245024	4	0
0743245024	5	0
0749748001	1	1
0749748001	2	1
0749748001	3	1
0749748001	4	0
0749748001	5	0
0749748028	1	0
0749748028	2	0
0749748028	3	1
0749748028	4	1
0749748028	5	1
0963094424	1	1
0963094424	2	0
0963094424	3	1
0963094424	4	1
0963094424	5	1
1401201172	1	1
1401201172	2	1
1401201172	3	0
1401201172	4	0
1401201172	5	1
1563892278	1	1
1563892278	2	1
1563892278	3	0
1563892278	4	1
1563892278	5	1
1563898586	1	1
1563898586	2	1
1563898586	3	1
1563898586	4	1
1563898586	5	1
156971620X	1	1
156971620X	2	1
156971620X	3	1
156971620X	4	1
156971620X	5	1
1592571301	1	1
1592571301	2	0
1592571301	3	1
1592571301	4	0
1592571301	5	1
0374270325	1	1
0374270325	2	0
0374270325	3	2
0374270325	4	0
0374270325	5	1
0375719180	1	0
0375719180	2	1
0375719180	3	1
0375719180	4	1
0375719180	5	1
0440235502	1	1
0440235502	2	1
0440235502	3	1
0440235502	4	1
0440235502	5	1
044023722X	1	1
044023722X	2	1
044023722X	3	0
044023722X	4	1
044023722X	5	1
1573225487	1	1
1573225487	2	1
1573225487	3	1
1573225487	4	1
1573225487	5	1
1853260673	1	0
1853260673	2	1
1853260673	3	1
1853260673	4	1
1853260673	5	1
0060977477	1	1
0060977477	2	1
0060977477	3	1
0060977477	4	0
0060977477	5	1
0345391691	1	1
0345391691	2	1
0345391691	3	1
0345391691	4	0
0345391691	5	1
0520011171	1	0
0520011171	2	1
0520011171	3	0
0520011171	4	0
0520011171	5	1
0553278746	1	1
0553278746	2	1
0553278746	3	1
0553278746	4	1
0553278746	5	1
0670856045	1	0
0670856045	2	1
0670856045	3	1
0670856045	4	1
0670856045	5	1
0872200760	1	1
0872200760	2	0
0872200760	3	1
0872200760	4	1
0872200760	5	1
0937858994	1	1
0937858994	2	1
0937858994	3	1
0937858994	4	1
0937858994	5	1
0671649949	1	1
0671649949	2	0
0671649949	3	0
0671649949	4	0
0671649949	5	1
0590431110	1	0
0590431110	2	1
